45,Louis Kahn: The Importance of a Drawing,Michael Merrill,2021,Hardcover,Lars Müller Publishers,Louis Kahn,New,70,Living Room,"Art, Fine-Art, Monograph",2.31,511,9783037786444,"A testament to Kahn’s masterly craft, this volume also makes a provocative primer on architectural representation by posing timely questions on how architects use drawings to see, learn, conjecture and reveal. Destined to become a standard reference on Kahn, this book is an essential addition to the libraries of established designers as well as students of architecture.",,covers/taco/715QkCS3w2L._SL1000_.jpg,2
46,Matisse: The Books,Matisse: The Books,2020,Hardcover,University of Chicago Press,Henri Matisse,New,60,Living Room,"Art, Fine-Art, Monograph",5.18,320,9780226750545,"The livre d’artiste, or “artist’s book,” is among the most prized in rare book collections. Henri Matisse (1869–1954) was one of the greatest artists to work in this genre, and he created his most important during a period of intense personal and physical suffering. Brimming with powerful themes and imagery, these works are crucial to understanding Matisse’s oeuvre.",,covers/taco/51vSOb9oAOL._SL1280_.jpg,2
47,Nike: Better is Temporary,Nike: Better is Temporary,2021,Hardcover,Phaidon,,Like New,60,Living Room,"Fashion Design, History",5.45,320,9781838660512,"Phaidon commemorates the company's influence with Nike: Better is Temporary, a landmark publication that charts Nike's transformation from rebellious upstart to global phenomenon.",,covers/taco/91lwuzYieTL._SL1500_.jpg,2
50,Gerhard Richter: Panorama: A Retrospective: Expanded Edition,"Nicholas Serota, Mark Godfrey",2016,Hardcover,D.A.P./Tate,"Richter, Gerhard",Like New,100,Living Room,"Art, Fine-Art, Monograph",4.52,312,978-1938922923,"First published on the occasion of the major retrospective exhibition that opened at Tate Modern in 2011, Gerhard Richter: Panorama is the most complete overview of the artist’s entire career to date. This stunningly illustrated survey encompasses works from the late 1950s to the present―photo-paintings, abstractions, landscapes, seascapes, portraits, color charts, grey paintings, glass and mirror works, sculptures, drawings and photographs―providing the definitive account of Richter’s achievements. It also includes studio photographs, archival images and texts by an array of international critics and curators. This expanded edition of Panorama includes a new text by Mark Godfrey that covers works made since the 2011 exhibition, including the Strip, Flow and Birkenau paintings, as well as an updated chronology. With more than 300 illustrations, and an interview between Richter and Nicholas Serota, Director of Tate, this book remains the most comprehensive survey of one of the world’s pre-eminent contemporary artists.",,covers/taco/71SX9ZlqHrL._SL1000_.jpg,2
51,OMA NY: Search Term,Shohei Shigematsu,2021,Hardcover,Rizzoli,OMA NY,Like New,90,Living Room,"Architecture, Design, Monograph",4.42,676,978-0847869206,"Well into its fourth decade, the Office for Metropolitan Architecture (OMA), founded by Rem Koolhaas in 1975, remains one of the most influential and successful practices of its kind. OMA describes itself as “a firm operating within the traditional boundaries of architecture and urbanism that applies architectural thinking to domains beyond.” OMA New York, has grown from an American outpost to a full-fledged operation with its own attitudes, contributing to the evolution of the globally acclaimed office. Through a diversity of projects, the firm has transformed our understanding of the city and our evolving relationship with art, fashion, food, sustainability, and other quintessentially twenty-first-century preoccupations.",,covers/taco/91ukKWBiPQL._SL1500_.jpg,2
52,"In a Cloud, in a Wall, in a Chair: Six Modernists in Mexico at Midcentury",Zoë Ryan,2019,Hardcover,Art Institute of Chicago,Various,Like New,145.51,Living Room,"Art, Fine-Art",2.6,236,978-0300247053,"Exploring the artistic culture of the country’s postrevolutionary period, this book contains reproductions from the exhibition catalogue—no longer in print—that accompanied Clara Porset’s groundbreaking 1952 exhibition in Mexico City Art in Daily Life as well as stunning illustrations of each artist’s work. Essays written by an international team of esteemed scholars tell a more complete and nuanced story of Mexico’s role as a center of modern art and design.",,covers/taco/81GQH68DnCL._SL1401_.jpg,2
53,"The Importance of Small Decisions (Simplicity: Design, Technology, Business, Life)",Michael J. O'Brien,2019,Hardcover,The MIT Press,,Like New,10,Living Room,"Business, Marketing, Life",1,160,978-0262039741,"Humans originally evolved in a world of few choices. Prehistoric, preindustrial, and predigital eras required fewer decisions than today's all-access, always-on world of too much information. Economists have largely discarded the idea that agents act rationally and the market follows suit. It seems that no matter how small or innocuous a decision might seem, there's almost no way to guess the effect it might have. The authors of The Importance of Small Decisions view decisions and their outcomes from a different perspective: as key elements in the evolution of culture. In this trailblazing book, they examine different kinds of decisions and map the outcomes, both short- and long-term. Drawing on this, they introduce a map of social behavior that captures the essential elements of human decision-making.",,covers/taco/81iJrB6GS0L._SL1500_.jpg,2
56,Tibor Kalman: Design and Undesign,"Farrelly, Liz",1998,Hardcover with jacket,Watson-Guptill,"Kalman, Tibor",Good,10,Living Room,"Graphic Design, Design, History",1,64,978-0823011469,"This examines the thinking of one of the world's most influential and prolific designers. Includes his work for the Talking Heads, Restaurant Florent, Interview, and Colors.",,covers/taco/1545.jpg,2
65,"Egon Schiele: Paintings, Watercolours, Drawings",Rudolf Leopold,2021,Hardcover,Hirmer Publishers,Egon Schiele,New,150,Living Room,"Art, Monograph, Fine-Art",12,736,978-1591265290,"In 1972, Austrian collector Rudolf Leopold (1925–2010) published a landmark catalog raisonné of the work of painter Egon Schiele (1890–1918). This updated new edition introduces the next generation of art lovers to the work of one of Gustav Klimt’s most talented protégés, known for his arresting self-portraits, sexually charged figure drawings, and haunting industrial landscapes. In addition to the color prints of Schiele’s paintings and drawings, this book provides insight into the artist’s life through letters, sketches, and documents, from his adolescence as an art student in fin de siècle Vienna to his death from flu after the close of World War I. Egon Schiele presents Schiele’s paintings, watercolors, and drawings chronologically in large-format color plates, providing a comprehensive overview of the many works Schiele completed in his short life.",,covers/taco/61Vfl2LZ3pL._SL1000_.jpg,2
66,Yayoi Kusama: Give Me Love,Yayoi Kusama,2016,Hardcover,David Zwirner Books; Illustrated edition,Yayoi Kusama,Like New,55,Living Room,"Art, Monograph",2.31,120,978-1941701218,"Yayoi Kusama: Give Me Love documents the artist's most recent exhibition at David Zwirner, New York, which marked the US debut of The Obliteration Room, an all-white, domestic interior that viewers are invited to cover with dot stickers of various sizes and colors.",,covers/taco/81PU0Ti55TL._SL1500_.jpg,2
67,Ruth Asawa: Life’s Work,Tamara Schenkenberg,2019,Hardcover,Yale University Press,Ruth Asawa,Like New,30,Living Room,"Art, Fine-Art, Monograph",2.48,160,978-0300242690,"Bringing together examples from across Asawa’s full and extraordinary career, this expansive volume serves as an unprecedented reorientation of her sculptures within the historical context of 20th-century art. In particular, it includes careful consideration of Asawa’s advocacy for arts education in public schools, while simultaneously focusing on her vital—and long under-recognized—contributions to the field of sculpture. Insightful essays explore the intersection of formal experimentation and identity to offer a fresh assessment of this celebrated artist. Richly illustrated with exquisite new installation views, Ruth Asawa: Life’s Work introduces original scholarship that traces the dynamic evolution of form in the artist’s work.",,covers/taco/71lBjLvA98L._SL1000_.jpg,2
68,Lucio Fontana: On the Threshold,Various,2019,Hardcover,Metropolitan Museum of Art,Lucio Fontana,New,400,Living Room,"Art, Fine-Art, Monograph",2.88,236,978-1588396822,"A fascinating reassessment of the work of one of the most innovative artists of the 20th century, emphasizing his Argentine background and interdisciplinary approach to both art and life",,covers/taco/81s94vDOjEL._SL1500_.jpg,2
69,Robert Motherwell: Elegy to the Spanish Republic,Various,2016,"Box Set, Hardcover",Dominique Lévy,Robert Motherwell,New,1000,Living Room,"Art, Fine-Art, Monograph",2.6,120,978-1944379001,"Exploring the inextricable links between poetry, politics, writing and painting revealed in the history of the series, this volume includes Harold Rosenberg’s “A Bird for Every Bird,” Federico García Lorca’s “Llanto por Ignacio Sánchez Mejías,” notes and writings by Motherwell on the Spanish Civil War, scholarly essays and rare archival material.",,covers/taco/71LIfGCbjNL._SL1200_.jpg,2
70,Dieter Rams: The Complete Works,Klaus Klemp,2020,Hardcover,Phaidon Press,Dieter Rams,New,64,Living Room,"Design, Product Design, Monograph, Design History",3.26,344,978-1838661533,"Made in close collaboration with Rams himself, this catalogue raisonné is the ultimate reference on one of the most influential product designers of all time",,covers/taco/71mvTROyCL._SL1500_.jpg,2
71,awefaefadf,,,,,,,,,,,,,,,covers/blank.jpg,2
72,Hellosss,,,,,,,,,,,,,,sdfadf,covers/blank.jpg,2
